id,nome,acepcao,exemplo,exemploLibras,categoria,representacao,configuracaoMao
70,Pará de Minas,Cidade Mineira localizada na região metropolitana de Belo Horizonte.,Pará de Minas é um município do estado de Minas Gerais.,ESTADO MINAS GERAIS CIDADE PARÁ DE MINAS É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/fedeh0WmOaA],[[61]]
71,Teófilo Otoni,Cidade Mineira localizada na região do Vale do Mucuri.,Teófilo Otoni tem seu nome em homenagem ao político do período imperial Teófilo Otoni.,CIDADE TEÓFILO OTONI NOME HOMENAGEM POLÍTICO TER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/gYvSLipOrTQ],[[21]]
72,Varginha,Cidade Mineira localizada ao sul do estado.,Varginha enviou reforços para compor as tropas brasileiras que lutaram na Itália na Segunda Guerra Mundial.,SEGUNDA GUERRA MUNDIAL REFORÇOS TROPAS BRASILEIRAS CIDADE VARGINHA ENVIAR,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/0-5nlbOCIWw],[[21;32]]
73,Betim,Cidade Mineira localizada na região metropolitana de Belo Horizonte.,Betim é a quinta cidade mais populosa de Minas Gerais.,ESTADO MINAS GERAIS QUINTA MAIS POPULOSA CIDADE BETIM É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/yXP_7-adXxg],[[61]]
74,Diamantina,"Cidade Mineira localizada na região do Vale do Jequitinhonha, região central do estado.",Diamantina é o município mais populoso do Vale do Jequitinhonha.,VALE DO JEQUITINHONHA MAIS POPULOSO CIDADE DIAMANTINA É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://www.youtube.com/watch?v=FkNLV7XR5pE],[[21]]
75,Juiz De Fora,Cidade Mineira localizada na região da Zona da Mata Mineira.,Juiz De Fora é a quarta cidade mais populosa de Minas Gerais.,ESTADO MINAS GERAIS QUARTA MAIS POPULOSA CIDADE JUIZ DE FORA É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/-3L9H37SbW0],[[61]]
76,Nova Lima,Cidade Mineira localizada na região metropolitana de Belo Horizonte.,Nova Lima é historicamente reconhecida pela extração de minérios de ferro e ouro.,EXTRAÇÃO MINÉRIO FERRO TAMBÉM OUTRO CIDADE NOVA LIMA RECONHECIDA É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/Gd5d3q2zjyE],[[18a]]
77,Pompeu,Cidade Mineira localizada na região central do estado.,Pompeu é um município do estado de Minas Gerais.,ESTADO MINAS GERAIS CIDADE POMPEU É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/BoYr0Y7PuTg],[[12]]
78,Rio Acima,Cidade Mineira localizada na região metropolitana de Belo Horizonte.,Rio Acima é reconhecida por suas diversas cachoeiras e nascentes.,DIVERSAS CACHOEIRAS E NASCENTES CIDADE  RIO ACIMA RECONHECIDA É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/sGWbgZnfzlE],[[25]]
79,Sarzedo,Cidade Mineira localizada na região metropolitana de Belo Horizonte.,Sarzedo é um município do estado de Minas Gerais.,ESTADO MINAS GERAIS CIDADE  SARZEDO É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/SHa1kB6nGqo;https://youtu.be/MuCqHxrcSUc],[[46a];[64]]
80,Vespasiano,Cidade Mineira localizada na região metropolitana de Belo Horizonte.,Vespasiano está situada na Região Metropolitana de Belo Horizonte,REGIÃO METROPOLITANA DE BELO HORIZONTE CIDADE  VESPAZIANO PARTE FAZER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/8TSVTylW8PQ],[[32;11]]
81,Montes Claros,Cidade Mineira localizada ao norte do estado.,Montes Claros é a maior cidade do Norte de Minas Gerais,REGIÃO NOTE ESTADO DE MINAS GERAIS CIDADE MONTES CLAROS MAIOR É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/KYuyZxeOjMQ],[[44]]
82,Ubá,Cidade Mineira localizada na região da Zona da Mata Mineira.,Ubá é o principal polo moveleiro de Minas Gerais.,ESTADO MINAS GERAIS CIDADE  UBÁ POLO MOVELEIRO É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/bDBybIR1q20],[[24]]
83,Alto Caparaó,Cidade Mineira localizada à leste do estado.,Alto Caparaó oferece paisagens deslumbrantes na Serra do Caparaó,SERRA DO CAPARAÓ PAISAGENS DESLUMBRANTES CIDADE  ALTO CAPARAÓ OFERECER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/4SphmVUJfiE],[[12]]
84,Barroso,Cidade Mineira localizada na região do Campo das Vertentes.,Barroso é um tesouro de arquitetura colonial bem preservada,TESOURO ARQUITETURA COLONIAL PRESERVADA CIDADE  BARROSO É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/rJ--2AZnqhc],[[61]]
85,Bom Sucesso,Cidade Mineira localizada na região Oeste de Minas.,Bom Sucesso prospera com sua produção de café de alta qualidade,PRODUÇÃO DE CAFÉ ALTA QUALIDADE CIDADE  BOM SUCESSO PROSPERAR,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/zZAv2tfmt3k],[[51b;42]]
86,Carmópolis De Minas,Cidade Mineira localizada na região Oeste de Minas.,Carmópolis de Minas é o coração da agricultura mineira,CORAÇÃO AGRICULTURA MINEIRA CIDADE  CARMÓPOLIS DE MINAS É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/GK88nzv_mvE],[[15;53a]]
87,Frutal,Cidade Mineira localizada na região do Triângulo Mineiro.,Frutal brilha com seus pomares de frutas cítricas,POMARES DE FRUTAS CÍTRICAS CIDADE  FRUTAL BRILHAR,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/2cKj5aCWykY],[[56]]
88,Ijaci,Cidade Mineira localizada na região do Campo das Vertentes.,Ijaci é o refúgio perfeito para os amantes da natureza,REFÚGIO PERFEITO AMANTES DA NATUREZA CIDADE IJACI É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/ZyMoAh7P1Bc],[[38]]
89,Janaúba,Cidade Mineira localizada na região Norte de Minas.,Janaúba é conhecida como a 'Capital Nacional da Manga',CAPITAL NACIONAL DA MANGA CIDADE JANAÚBA CONHECIDA É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/zzPT1HKTW3Y],[[38;61]]
90,Lima Duarte,Cidade Mineira localizada na região da Zona da Mata Mineira.,Lima Duarte é o ponto de partida para explorar o Parque Estadual do Ibitipoca,PARQUE ESTADUAL DO IBITIPOCA CIDADE LIMA DUARTE PONTO DE PARTIDA EXPLORAR É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/tetha3XajYY],[[8a;12]]
91,Martins Soares,Cidade Mineira localizada na região da Zona da Mata Mineira.,Martins Soares cultiva uma tradição de excelência na produção de café.,PRODUÇÃO DE CAFÉ CIDADE MARTINS SOARES TRADIÇÃO DE EXCELENCIA TER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/AgF_5nylUjk],[[60;2]]
92,Nepomuceno,Cidade Mineira localizada na região do Campo das Vertentes.,Nepomuceno é conhecida por seu café delicioso.,CAFÉ DELICIOSO CIDADE NEPOMUCENO CONHECIDA É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/X8OrZn-Zo8U],[[24]]
93,Perdões,Cidade Mineira localizada na região Oeste de Minas.,"Perdões é o celeiro de Minas, produzindo grãos e leite de alta qualidade.",GRÃOS E LEITE DE ALTA QUALIDADE CIDADE CELEIROS PRODUZIR,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/vGi0rEgogxU],[[40]]
94,Rio Casca,Cidade Mineira localizada na região da Zona da Mata Mineira.,Rio Casca é um paraíso para os amantes da natureza,AMANTES DA NATUREZA CIDADE RIO CASCA PARAÍSO É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/JS6arFERgek],[[64;2]]
95,São João Nepomuceno,Cidade Mineira localizada na região da Zona da Mata Mineira.,São João Nepomuceno é uma cidade que celebra a alegria e a tradição em seu animado Carnaval,CARNAVAL ALEGRE E TRADICIONAL CIDADE SÃO JOÃO NEPOMUCENO CELEBRAR,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/2YWPIW0ZAy4],[[2;64]]
96,Sete Lagoas,Cidade Mineira localizada na região metropolitana de Belo Horizonte.,Sete Lagoas é cercada por seus belos sete lagos naturais,BELOS SETE LAGOS NATURAIS CIDADE SE LAGOAS CERCADA É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/ENHVZz0NKgU],[[10]]
97,Vale Verde,Cidade Mineira. ,Vale Verde é um refúgio tranquilo em meio à natureza,REFÚGIO TRANQUILO NATUREZA CIDADE VALE VERDE É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/HEpv0O2VP_Y],[[32;2]]
98,Campinas,Cidade Paulista localizada à Noroeste de São Paulo no interior do estado. ,Campinas é um centro tecnológico e industrial em constante crescimento,CENTRO TECNOLÓGICO TAMBÉM INDUSTRIAL CIDADE CAMPINAS CRESCER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/I7Wmj4j542I],[[15]]
99,São Caetano Do Sul,"Cidade Paulista localizada na região do ABC Paulista, próxima à cidade de São Paulo.",São Caetano do Sul é um exemplo de desenvolvimento econômico no ABC Paulista,REGIÃO ABC PAULISTA EXEMPLO DESENVOLVIMENTO ECONÔMICO CIDADE SÃO CAETANO DO SUL É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/oSwUGDlhOs4;https://youtu.be/6FMyHXru_EQ],[[2;51a];[2;51a;2]]
100,Osasco,"Cidade Paulista localizada à Oeste de São Paulo, no interior do estado.",Osasco é uma cidade agitada e industrial na Grande São Paulo.,REGIÃO GRANDE SÃO PAULO AGITADA TAMBÉM INDUSTRIAL  CIDADE OSASCO É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/yNbGOQCN424],[[42]]
101,São José Do Rio Preto,Cidade Paulista localizada na região Noroeste do estado de São Paulo,São José do Rio Preto prospera com sua produção agrícola diversificada,PRODUÇÃO AGRÍCOLA DIVERSIFICADA CIDADE SÃO JOSÉ RIO PRETO PROSPERAR,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/-hsW9SCCz-c],[[1]]
102,Diadema,Cidade Paulista localizada na região do ABC Paulista,Diadema é um polo industrial vital na Região Metropolitana de São Paulo,REGIÃO METROPOLITANA DE SÃO PAULO POLO INDUSTRIAL CIDADE DIADEMA É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/XQ__C3YMtKU],[[13]]
103,Carapicuiba,Cidade Paulista localizada na região Metropolitana de São Paulo,Carapicuíba foi fundada por um padre.,FUNDADA PADRE CIDADE CARAPICUIBA FOI,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/LyFHfBguAPE;https://youtu.be/uP272rU6ZmE],[[63];[51a]]
104,São Vicente,"Cidade Paulista localizada no litoral do estado, próxima à cidade de Santos.","São Vicente, a primeira vila do Brasil, é um tesouro histórico à beira-mar na Baixada Santista",BAIXADA SANTISTA PRIMEIRA VILA DO BRASIL CIDADE SÃO VICENTE FOI,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/dT0uTIoDGXo],[[36]]
105,Guarujá,"Cidade Paulista localizada no litoral do estado, próxima à cidade de Santos.",Guarujá é conhecida por suas praias deslumbrantes,PRAIAS DESLUMBRANTES CIDADE GUARUJÁ CONHECIDA É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/ZBalaf2qooY],[[9;62]]
106,Suzano,Cidade Paulista localizada na região Metropolitana de São Paulo,Suzano é localizada na região metropolitana de São Paulo,REGIÃO METROPOLITANA DE SÃO PAULO CIDADE SUZANO LOCALIZADA ESTÁ,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/M0xSRBe57zM],[[2;24]]
107,Barueri,Cidade Paulista localizada na região Metropolitana de São Paulo,Barueri é um município dinâmico e moderno da Grande São Paulo,GRANDE SÃO PAULO MUNICÍPIO DINÂMICO TAMBÉM MODERNO CIDADE BARUERI É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/fGAzOWbcGBo;https://youtu.be/ltb5bnE9isw;https://youtu.be/kW_-9DPsB2c;https://youtu.be/X8GQPDN1n6o],[[61];[61];[61];[47]]
108,Marilia,Cidade Paulista localizada na região do Centro-Oeste do estado,Marília é uma cidade acolhedora do interior de São Paulo,INTERIOR DE SÃO PAULO CIDADE MARÍLIA ACOLHEDORA É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/QVeFyJwMeSI],[[35b]]
109,Presidente Prudente,Cidade Paulista localizada na região Oeste do estado,Presidente Prudente abriga a UNESP,UNESP CIDADE PRESIDENTE PRUDENTE ABRIGAR,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/Q1sPvdKRolU],[[13]]
110,Rio Claro,Cidade Paulista localizada na região Central do estado,Rio Claro é uma cidade com belos parques e uma rica história industrial,BELOS PARQUES TAMBÉM RICA HISTÓRIA INDUSTRIAL CIDADE RIO CLARO É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/gOfEDUn0dJU],[[61]]
111,Santa Bárbara D´Oeste,Cidade Paulista localizada na região Central do estado,Santa Bárbara d'Oeste é uma cidade que mistura história e modernidade,HISTÓRIA TAMBÉM MODERNIDADE CIDADE SANTA BÁRBARA D´OESTE MISTURAR,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/dXQeTOVd80E],[[53b]]
112,Bragança Paulista,Cidade Paulista localizada na região do Interior Norte do estado,Bragança Paulista é situada nas montanhas da Serra da Mantiqueira,MONTANHAS SERRA MANTIQUEIRA CIDADE BRAGANÇA PAULISTA LOCALIZADA ESTÁ,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/E-JchVGla5M],[[5]]
113,Mogi Guacú,Cidade Paulista localizada na região do Interior Norte do estado,Mogi Guaçu é conhecida por sua economia diversificada,ECONOMIA DIVERSIFICADA CIDADE MOGI GUAÇU CONHECIDA É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/m6CASCCMbtE],[[63]]
114,Atibaia,Cidade Paulista localizada na região do Interior Norte do estado,Atibaia é uma cidade cercada por montanhas,MONTANHAS CIDADE ATIBAIA CERCADA É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/IqSeq7Q5OLA],[[12]]
115,Cubatão,"Cidade Paulista localizada no litoral do estado, próxima à cidade de Santos.",Cubatão é famosa pelo Polo Petroquímico e por seu porto,POLO PETROQUÍMICO TAMBÉM PORTE TER CIDADE CUBATÃO FAMOSA É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/wr49I-N2yeQ],[[51b]]
116,Jandira,Cidade Paulista localizada na região Metropolitana de São Paulo,Jandira é uma cidade em crescimento na Região Metropolitana de São Paulo,REGIÃO METROPOLITANA DE SÃO PAULO CIDADE JANDIRA CRESCER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/H3qj4RSQ0C4],[[38]]
117,Votorantim,Cidade Paulista localizada na região Metropolitana de Sorocaba,Votorantim é uma cidade industrial que prospera nas margens do Rio Sorocaba,MARGENS RIO SOROCABA CIDADE VOTORANTIM PROPERAR,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/ZjP5EXYUHN0],[[32]]
118,Tatuí,Cidade Paulista localizada na região Centro-Oeste do estado,"Tatuí é conhecida como a ""Cidade das Artes""",CIDADE DAS ARTES CIDADE TATUÍ CONHECIDA É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/LImoRmy8ZT8],[[51a;38]]
119,Salto,Cidade Paulista localizada na região Metropolitana de Sorocaba,Salto é famosa por suas quedas d'água e possui um rico patrimônio histórico,QUEDAS D´ÁGUAS TAMBÉM RICO PATRIMÔNIO HISTÓRICO CIDADE SALTO POSSUIR,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/wIL5bjKWc5E],[[64;2]]
120,Paulínea,Cidade Paulista localizada na região Metropolitana de Campinas,Paulínia é um importante polo petroquímico na Região Metropolitana de Campinas,REGIÃO METROPOLITANA CAMPINAS POLO PETROQUÍMICO CIDADE PAULÍNIA É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/r0YQ0MQMtK0],[[11]]
121,Caieiras,Cidade Paulista localizada na região Metropolitana de São Paulo,Caieiras abriga parte da Serra da Cantareira,SERRA CANTAREIRA CIDADE CAIEIRA PARTE ABRIGAR,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/n-qC6rv6fMk],[[51a;47]]
122,Mogi Mirim,Cidade Paulista localizada na região do Interior Norte do estado,Mogi Mirim é uma cidade com forte presença agrícola e cultural,FORTE PRESENÇA AGRÍCOLA TAMBÉM CULTURAL CIDADE MOGI MIRIM É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/UQ0woqU1hdo],[[60]]
123,Ubatuba,Cidade Paulista localizada no litoral Norte do estado,Ubatuba é um paraíso costeiro com praias deslumbrantes e uma atmosfera relaxante,PARAÍSO COSTEIRO COM PRAIAS DESLUMBRANTES TAMBÉM ATMOSFERA RELAXANTE CIDADE UBATUBA É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/VWewaXvz-QQ],[[24;62]]
124,São Sebastião,Cidade Paulista localizada no litoral Norte do estado,São Sebastião é um ponto de partida para Ilhabela,ILHABELA PONTO DE PARTIDA SÃO SEBASTIÃO É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/ilLNB12eiLI],[[2;31]]
125,Vinhedo,Cidade Paulista localizada no litoral Norte do estado,Vinhedo é conhecida por suas vinícolas e eventos culturais animados,VINÍCULAS TAMBÉM EVENTOS CULTAIS ANIMADOS CIDADE VINHEDO CONHECIDA É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/t9mmKRquI9I],[[32]]
126,Jaboticabal,Cidade Paulista localizada na região Nordeste do estado,Jaboticabal é uma cidade acolhedora e próspera no interior de São Paulo,INTERIOR DE SÃO PAULO CIDADE JABOTICABAL ACOLHEDORA É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/me1DOuhxEIM],[[2;49;8a]]
127,Cosmópolis,Cidade Paulista localizada na região Metropolitana de Campinas,Cosmópolis recebeu imigrantes italianos no final do século XIX,IMIGRANTES ITALIANOS FIM SÉCULO XIX CIDADE COSMÓPOLIS RECEBER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/VXdmtq_Wack],[[51b;12]]
128,Fernandópolis,Cidade Paulista localizada na região Noroeste do estado,Fernandópolis é uma cidade que se destaca na produção de café e na cultura caipira,PRODUÇÃO CAFÉ TAMBÉM CULTURA CAIPIRA CIDADE FERNANDÓPOLIS DESTACAR,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/aLRpSGmb-pc],[[8a;47]]
129,Bertioga,"Cidade Paulista localizada no litoral do estado, próxima à cidade de Santos","Bertioga é um refúgio à beira-mar, perfeito para quem busca tranquilidade e praias paradisíacas",REFÚGIO BEIRA MAR TAMBÉM TRANQUILO TAMBÉM PRAIAS PARADISÍACAS CIDADE BERTIOGA TER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/vVseCvuwIR0],[[61]]
130,Ibitinga,Cidade Paulista localizada na região Centro-Oeste do estado,Ibitinga é conhecida por sua indústria de bordados e enxovais,INDUSTRIA DE BORDADOS TAMBÉM ENXOVAIS CIDADE IBITINGA CONHECIDA É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/AX5X6TnqeR0],[[44;38]]
131,Jaguariuna,Cidade Paulista localizada na região Metropolitana de Campinas,Jaguariúna é famosa por seus festivais culturais,FESTIVAIS CULTURAIS CIDADE JAGUARIÚNA CONHECIDA É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/RR6ETMEftbk],[[2;40]]
132,Monguaguá,"Cidade Paulista localizada no litoral do estado, próxima à cidade de Santos",Mongaguá é um destino litorâneo que oferece praias deslumbrantes,DESTINO LITORÂNEO COM PRAIAS DESLUMBRANTES CIDADE MONGAGUÁ OFERECER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/3h10HDCT1Sc],[[60]]
